job_title,salary_usd,experience_level,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name,experience_level_enc,company_size_enc,education_required_enc,employment_type_FL,employment_type_FT,employment_type_PT,company_location_freq,employee_residence_freq
Data Scientist,71467,EX,China,M,China,100,"Python, Kubernetes, Tableau, Computer Vision",Master,11,Telecommunications,5.8,Predictive Systems,3,1,2,0,0,0,0.050085034013605444,0.04353741496598639
AI Architect,140480,SE,South Korea,L,South Korea,50,"Deep Learning, AWS, Tableau, Azure",Master,7,Retail,5.1,Cognitive Computing,2,2,2,0,0,1,0.053061224489795916,0.04013605442176871
Deep Learning Engineer,136382,MI,Denmark,M,Spain,50,"AWS, Mathematics, NLP",PhD,2,Transportation,6.1,AI Innovations,1,1,3,1,0,0,0.049829931972789114,0.005187074829931973
AI Research Scientist,45928,SE,India,M,India,0,"Linux, Git, Tableau, Data Visualization",Bachelor,7,Media,7.7,Smart Analytics,2,1,1,0,1,0,0.03945578231292517,0.03784013605442177
Machine Learning Engineer,104007,EN,Switzerland,L,India,0,"Python, Scala, Data Visualization, Hadoop, Linux",PhD,0,Finance,5.5,Smart Analytics,0,2,3,0,0,0,0.04957482993197279,0.03784013605442177
AI Software Engineer,95618,MI,Switzerland,S,India,50,"Computer Vision, Statistics, Kubernetes, Java",PhD,4,Education,5.5,Future Systems,1,0,3,0,0,0,0.04957482993197279,0.03784013605442177
Data Scientist,98188,EN,Switzerland,S,Switzerland,100,"Spark, PyTorch, TensorFlow, Hadoop",Master,0,Gaming,8.7,Advanced Robotics,0,0,2,0,1,0,0.04957482993197279,0.04175170068027211
AI Software Engineer,114364,EN,Switzerland,L,South Africa,100,"MLOps, PyTorch, NLP, Mathematics",PhD,0,Telecommunications,8.4,Advanced Robotics,0,2,3,0,0,1,0.04957482993197279,0.006717687074829932
Robotics Engineer,72897,EN,Norway,S,Norway,0,"Spark, MLOps, Kubernetes, Linux, TensorFlow",Associate,1,Telecommunications,6.8,Neural Networks Co,0,0,0,0,0,0,0.04846938775510204,0.03903061224489796
Computer Vision Engineer,61740,SE,India,L,Estonia,0,"Azure, Java, Deep Learning",PhD,6,Education,7.1,Neural Networks Co,2,2,3,0,1,0,0.03945578231292517,0.006717687074829932
AI Software Engineer,107722,SE,Finland,M,Finland,0,"GCP, R, Docker, SQL",PhD,6,Media,5.2,DeepTech Ventures,2,1,3,0,0,1,0.04855442176870748,0.03792517006802721
Deep Learning Engineer,98877,MI,Canada,L,Canada,100,"TensorFlow, Azure, Linux, Git",Master,2,Energy,5.4,Digital Transformation LLC,1,2,2,0,1,0,0.053316326530612246,0.04336734693877551
Principal Data Scientist,154303,EX,France,M,France,100,"Linux, Git, Tableau",Master,17,Manufacturing,7.8,Cloud AI Solutions,3,1,2,1,0,0,0.050255102040816325,0.04319727891156463
Data Scientist,242484,EX,Israel,L,Israel,100,"Computer Vision, PyTorch, Deep Learning, TensorFlow, MLOps",PhD,19,Government,9.3,AI Innovations,3,2,3,0,0,1,0.05187074829931973,0.04098639455782313
AI Specialist,64086,EN,Germany,S,Romania,50,"Java, R, SQL, Git, Deep Learning",Bachelor,1,Technology,5.1,Autonomous Tech,0,0,1,0,0,0,0.05136054421768708,0.00816326530612245
Machine Learning Engineer,110209,EX,China,L,China,100,"R, Scala, Python",Associate,15,Education,9.1,Future Systems,3,2,0,0,0,1,0.050085034013605444,0.04353741496598639
Machine Learning Researcher,162040,EX,Denmark,S,Denmark,0,"Statistics, Linux, Deep Learning",Bachelor,11,Government,6.6,Autonomous Tech,3,0,1,0,0,1,0.049829931972789114,0.03843537414965986
Computer Vision Engineer,123498,EX,Australia,S,Australia,50,"Linux, PyTorch, TensorFlow, Data Visualization, SQL",PhD,19,Media,7.5,Smart Analytics,3,0,3,0,1,0,0.047448979591836735,0.039965986394557826
AI Software Engineer,185311,EX,Finland,M,Finland,50,"Hadoop, GCP, NLP, AWS, Tableau",PhD,15,Gaming,8.5,Smart Analytics,3,1,3,0,0,1,0.04855442176870748,0.03792517006802721
AI Research Scientist,85529,MI,Israel,S,Israel,50,"Deep Learning, Mathematics, GCP, Kubernetes, Git",Master,2,Consulting,7.7,Quantum Computing Inc,1,0,2,0,0,0,0.05187074829931973,0.04098639455782313
AI Specialist,121255,MI,Norway,L,Norway,0,"SQL, Scala, AWS, GCP",PhD,4,Telecommunications,8.1,TechCorp Inc,1,2,3,0,0,1,0.04846938775510204,0.03903061224489796
Machine Learning Engineer,274462,EX,Switzerland,S,Switzerland,100,"Deep Learning, Hadoop, Tableau, MLOps",Bachelor,14,Energy,6.4,Quantum Computing Inc,3,0,1,0,0,1,0.04957482993197279,0.04175170068027211
AI Consultant,46440,EN,South Korea,S,South Korea,0,"Kubernetes, Spark, NLP, Git, Python",Associate,0,Transportation,5.3,Neural Networks Co,0,0,0,0,1,0,0.053061224489795916,0.04013605442176871
AI Product Manager,236982,EX,Denmark,L,Poland,0,"AWS, Kubernetes, Tableau",Master,10,Gaming,5.1,Smart Analytics,3,2,2,1,0,0,0.049829931972789114,0.005442176870748299
ML Ops Engineer,84538,EN,United Kingdom,L,United Kingdom,0,"SQL, Java, Tableau, Statistics",Bachelor,0,Media,8.2,Cloud AI Solutions,0,2,1,0,0,0,0.052636054421768705,0.042006802721088435
Data Scientist,142169,SE,Netherlands,M,Netherlands,50,"Tableau, NLP, Scala, Java",Master,9,Transportation,8.7,Autonomous Tech,2,1,2,1,0,0,0.050425170068027214,0.04047619047619048
Machine Learning Engineer,48318,EN,South Korea,M,South Korea,50,"Spark, Kubernetes, Statistics",PhD,1,Retail,5.6,Cloud AI Solutions,0,1,3,1,0,0,0.053061224489795916,0.04013605442176871
Autonomous Systems Engineer,176930,SE,Japan,L,Japan,50,"Kubernetes, Deep Learning, MLOps, Azure",Master,7,Healthcare,6.9,DeepTech Ventures,2,2,2,1,0,0,0.050085034013605444,0.03988095238095238
NLP Engineer,105022,SE,Australia,M,Japan,0,"Mathematics, Python, Data Visualization, Deep Learning, GCP",PhD,8,Government,8.4,Cognitive Computing,2,1,3,0,1,0,0.047448979591836735,0.03988095238095238
NLP Engineer,141780,SE,Finland,M,Finland,50,"Python, TensorFlow, Hadoop, Computer Vision",Associate,8,Automotive,5.2,DeepTech Ventures,2,1,0,0,0,1,0.04855442176870748,0.03792517006802721
Research Scientist,176023,SE,Denmark,S,Denmark,0,"Azure, SQL, Python, Kubernetes, Deep Learning",PhD,6,Real Estate,6.7,Advanced Robotics,2,0,3,1,0,0,0.049829931972789114,0.03843537414965986
Computer Vision Engineer,88458,EX,China,S,China,50,"AWS, R, Tableau, Hadoop",Bachelor,16,Real Estate,6.2,Neural Networks Co,3,0,1,0,0,1,0.050085034013605444,0.04353741496598639
Machine Learning Researcher,198925,EX,Ireland,S,Nigeria,0,"Scala, R, SQL",Master,13,Gaming,5.9,Algorithmic Solutions,3,0,2,0,0,0,0.05127551020408163,0.005357142857142857
Robotics Engineer,199990,EX,Norway,M,Norway,100,"Docker, Kubernetes, AWS, Java",Associate,10,Education,5.9,Cloud AI Solutions,3,1,0,0,1,0,0.04846938775510204,0.03903061224489796
Data Engineer,80773,MI,South Korea,S,South Korea,50,"Python, Kubernetes, NLP, Tableau",Master,2,Real Estate,5.0,AI Innovations,1,0,2,0,1,0,0.053061224489795916,0.04013605442176871
Data Analyst,134224,EX,China,L,China,0,"Python, SQL, Git",Master,16,Technology,6.6,Quantum Computing Inc,3,2,2,0,1,0,0.050085034013605444,0.04353741496598639
Computer Vision Engineer,119338,SE,United States,S,Kenya,50,"TensorFlow, R, MLOps, Java, AWS",PhD,6,Gaming,6.9,Cloud AI Solutions,2,0,3,0,1,0,0.05314625850340136,0.006207482993197279
Machine Learning Engineer,78163,EN,Ireland,M,Ireland,50,"SQL, Python, TensorFlow, PyTorch",Bachelor,1,Manufacturing,9.5,Predictive Systems,0,1,1,0,0,1,0.05127551020408163,0.04311224489795919
AI Product Manager,136380,SE,Austria,L,Austria,100,"Mathematics, Tableau, Scala",PhD,6,Consulting,7.8,DataVision Ltd,2,2,3,1,0,0,0.04625850340136054,0.03860544217687075
Robotics Engineer,69805,MI,France,M,France,50,"SQL, Data Visualization, Azure, Spark",PhD,2,Media,9.8,Advanced Robotics,1,1,3,0,1,0,0.050255102040816325,0.04319727891156463
Research Scientist,92187,SE,Israel,S,Spain,0,"Data Visualization, Computer Vision, GCP, Scala, NLP",PhD,8,Telecommunications,5.5,Quantum Computing Inc,2,0,3,0,0,1,0.05187074829931973,0.005187074829931973
Deep Learning Engineer,92899,MI,Israel,L,Israel,100,"Java, MLOps, AWS",Bachelor,4,Manufacturing,9.6,Digital Transformation LLC,1,2,1,1,0,0,0.05187074829931973,0.04098639455782313
AI Research Scientist,51311,EN,Japan,S,Japan,100,"Tableau, Linux, TensorFlow, Data Visualization",PhD,1,Telecommunications,6.7,Digital Transformation LLC,0,0,3,1,0,0,0.050085034013605444,0.03988095238095238
Principal Data Scientist,108438,MI,Sweden,M,Indonesia,0,"Docker, NLP, Python",Bachelor,2,Real Estate,8.9,Smart Analytics,1,1,1,1,0,0,0.05085034013605442,0.006462585034013605
Machine Learning Researcher,82949,EN,Canada,L,Canada,50,"Mathematics, Git, NLP, Python",PhD,1,Media,5.5,Smart Analytics,0,2,3,0,1,0,0.053316326530612246,0.04336734693877551
NLP Engineer,59613,EN,Canada,M,Canada,100,"Computer Vision, R, Docker",PhD,1,Retail,6.2,Advanced Robotics,0,1,3,0,0,0,0.053316326530612246,0.04336734693877551
Machine Learning Engineer,84482,EN,United States,S,Malaysia,100,"Docker, Scala, NLP, AWS",Associate,1,Media,5.2,Advanced Robotics,0,0,0,0,0,0,0.05314625850340136,0.006377551020408163
Robotics Engineer,226048,EX,Germany,M,Germany,100,"Java, PyTorch, TensorFlow, SQL",PhD,15,Media,8.8,Cloud AI Solutions,3,1,3,0,1,0,0.05136054421768708,0.04149659863945578
Data Scientist,64243,EN,Canada,L,Canada,0,"Computer Vision, Python, TensorFlow",Bachelor,0,Finance,5.5,DeepTech Ventures,0,2,1,0,0,1,0.053316326530612246,0.04336734693877551
AI Specialist,58025,EN,Germany,S,Luxembourg,100,"R, SQL, NLP, Hadoop",Bachelor,1,Government,7.1,DataVision Ltd,0,0,1,0,0,0,0.05136054421768708,0.006207482993197279
NLP Engineer,206289,EX,Austria,S,Netherlands,0,"Scala, MLOps, NLP",Associate,14,Education,8.5,Autonomous Tech,3,0,0,1,0,0,0.04625850340136054,0.04047619047619048
AI Software Engineer,118005,SE,Singapore,S,Singapore,0,"Azure, Scala, Deep Learning",Master,9,Media,7.1,Predictive Systems,2,0,2,0,0,1,0.05204081632653061,0.04175170068027211
AI Specialist,34167,MI,China,M,China,50,"Linux, Scala, Spark, Git",PhD,2,Automotive,6.7,Smart Analytics,1,1,3,1,0,0,0.050085034013605444,0.04353741496598639
AI Software Engineer,75033,MI,United Kingdom,S,United Kingdom,50,"Git, TensorFlow, Deep Learning",PhD,4,Manufacturing,7.4,Cognitive Computing,1,0,3,1,0,0,0.052636054421768705,0.042006802721088435
Deep Learning Engineer,111269,MI,Switzerland,M,Switzerland,0,"Java, TensorFlow, Linux",Associate,4,Automotive,6.5,Machine Intelligence Group,1,1,0,0,0,1,0.04957482993197279,0.04175170068027211
AI Architect,66906,EN,Ireland,S,Argentina,100,"Java, Kubernetes, Statistics",Associate,0,Manufacturing,8.8,TechCorp Inc,0,0,0,0,0,0,0.05127551020408163,0.0068877551020408165
Data Scientist,161380,EX,Japan,M,Japan,0,"Python, Scala, Computer Vision, Hadoop",Master,13,Media,6.2,Digital Transformation LLC,3,1,2,0,1,0,0.050085034013605444,0.03988095238095238
Data Scientist,99117,MI,Sweden,S,Sweden,50,"Azure, TensorFlow, AWS, Linux",Associate,3,Technology,7.4,Autonomous Tech,1,0,0,0,0,1,0.05085034013605442,0.03988095238095238
AI Software Engineer,64623,EN,Israel,S,Israel,0,"Kubernetes, GCP, Tableau",Master,1,Energy,5.5,DeepTech Ventures,0,0,2,0,0,1,0.05187074829931973,0.04098639455782313
AI Consultant,36735,MI,India,M,India,0,"Python, AWS, Data Visualization, TensorFlow, Spark",Associate,2,Media,7.2,Cognitive Computing,1,1,0,0,0,0,0.03945578231292517,0.03784013605442177
AI Consultant,76617,EN,Sweden,M,Sweden,0,"Mathematics, Linux, Computer Vision, PyTorch",Associate,1,Automotive,5.6,TechCorp Inc,0,1,0,1,0,0,0.05085034013605442,0.03988095238095238
AI Architect,27660,EN,China,M,China,50,"PyTorch, Git, Hadoop",Master,0,Healthcare,7.4,Future Systems,0,1,2,0,0,0,0.050085034013605444,0.04353741496598639
AI Architect,165971,EX,Denmark,S,Denmark,0,"Docker, Hadoop, GCP",Associate,16,Consulting,7.4,Neural Networks Co,3,0,0,1,0,0,0.049829931972789114,0.03843537414965986
Machine Learning Engineer,245526,EX,United States,S,Israel,100,"Python, Git, Kubernetes",Bachelor,12,Manufacturing,5.4,Autonomous Tech,3,0,1,0,1,0,0.05314625850340136,0.04098639455782313
AI Research Scientist,143195,EX,Canada,S,Canada,50,"Java, Linux, Scala, NLP, Tableau",PhD,13,Healthcare,5.3,Neural Networks Co,3,0,3,1,0,0,0.053316326530612246,0.04336734693877551
AI Research Scientist,92768,MI,Ireland,S,Ireland,0,"Mathematics, R, SQL",Master,4,Finance,9.9,DeepTech Ventures,1,0,2,0,1,0,0.05127551020408163,0.04311224489795919
Data Engineer,271475,EX,Singapore,L,Singapore,0,"Git, Docker, Hadoop",Associate,10,Media,7.1,DataVision Ltd,3,2,0,1,0,0,0.05204081632653061,0.04175170068027211
ML Ops Engineer,277182,EX,Norway,M,Norway,50,"Azure, Linux, NLP, GCP",Bachelor,15,Technology,7.6,Advanced Robotics,3,1,1,1,0,0,0.04846938775510204,0.03903061224489796
Data Engineer,91226,MI,Singapore,L,India,0,"Python, TensorFlow, PyTorch, SQL",Bachelor,2,Transportation,7.7,Autonomous Tech,1,2,1,0,0,1,0.05204081632653061,0.03784013605442177
NLP Engineer,59315,EN,Sweden,S,Thailand,50,"R, Linux, Tableau, Kubernetes, AWS",Bachelor,0,Education,9.9,Neural Networks Co,0,0,1,0,1,0,0.05085034013605442,0.005952380952380952
AI Specialist,88243,MI,Sweden,S,Germany,50,"SQL, Java, PyTorch",Master,2,Automotive,9.0,Future Systems,1,0,2,1,0,0,0.05085034013605442,0.04149659863945578
Machine Learning Engineer,93495,MI,United States,S,United States,0,"TensorFlow, Kubernetes, Hadoop, Azure, Scala",Bachelor,3,Telecommunications,6.5,Digital Transformation LLC,1,0,1,0,0,1,0.05314625850340136,0.042261904761904764
Machine Learning Researcher,28903,EN,India,L,India,0,"Python, Deep Learning, Computer Vision",Associate,0,Finance,5.8,Cognitive Computing,0,2,0,0,1,0,0.03945578231292517,0.03784013605442177
Autonomous Systems Engineer,160109,SE,Switzerland,M,Thailand,100,"MLOps, AWS, Spark, R",Master,5,Consulting,9.0,Digital Transformation LLC,2,1,2,0,0,1,0.04957482993197279,0.005952380952380952
ML Ops Engineer,56341,EN,South Korea,M,South Korea,0,"SQL, Tableau, PyTorch",Bachelor,1,Media,7.9,TechCorp Inc,0,1,1,0,0,1,0.053061224489795916,0.04013605442176871
Data Analyst,128958,SE,Japan,L,Ireland,100,"Python, Git, Docker, Mathematics, Tableau",PhD,5,Retail,5.9,Predictive Systems,2,2,3,0,0,0,0.050085034013605444,0.04311224489795919
Autonomous Systems Engineer,74071,EN,Denmark,S,Vietnam,100,"R, Computer Vision, PyTorch, GCP",Bachelor,1,Technology,7.5,Algorithmic Solutions,0,0,1,1,0,0,0.049829931972789114,0.007227891156462585
Data Scientist,56096,SE,China,L,France,50,"Deep Learning, Python, Data Visualization, Statistics, Linux",Bachelor,5,Media,6.5,Algorithmic Solutions,2,2,1,0,0,1,0.050085034013605444,0.04319727891156463
Computer Vision Engineer,150029,SE,Singapore,L,Singapore,100,"GCP, Kubernetes, Java",Associate,7,Manufacturing,7.4,Autonomous Tech,2,2,0,1,0,0,0.05204081632653061,0.04175170068027211
ML Ops Engineer,146528,MI,Switzerland,M,Switzerland,50,"Azure, Python, TensorFlow, Docker",Associate,3,Consulting,9.9,Predictive Systems,1,1,0,0,0,1,0.04957482993197279,0.04175170068027211
Data Analyst,125924,SE,United Kingdom,L,Australia,0,"Linux, Statistics, Git",Bachelor,6,Technology,6.9,Advanced Robotics,2,2,1,0,0,1,0.052636054421768705,0.039965986394557826
Research Scientist,129262,SE,Austria,M,Austria,0,"Python, Azure, Docker, R, Git",PhD,7,Energy,8.5,Autonomous Tech,2,1,3,0,0,0,0.04625850340136054,0.03860544217687075
Robotics Engineer,32200,EN,China,S,Estonia,100,"SQL, Git, Azure",Bachelor,1,Finance,8.6,AI Innovations,0,0,1,0,1,0,0.050085034013605444,0.006717687074829932
AI Product Manager,259708,EX,Australia,L,Australia,0,"Spark, Kubernetes, Statistics",PhD,17,Healthcare,6.6,AI Innovations,3,2,3,0,0,1,0.047448979591836735,0.039965986394557826
AI Product Manager,176978,EX,Finland,S,New Zealand,100,"Hadoop, Docker, Linux",PhD,19,Automotive,8.9,Digital Transformation LLC,3,0,3,0,0,1,0.04855442176870748,0.007227891156462585
Machine Learning Researcher,141976,SE,Israel,M,Indonesia,50,"Git, Kubernetes, PyTorch",PhD,9,Telecommunications,9.2,DeepTech Ventures,2,1,3,0,1,0,0.05187074829931973,0.006462585034013605
Deep Learning Engineer,120489,SE,Canada,L,Canada,100,"GCP, Linux, R, SQL",Master,8,Retail,9.3,TechCorp Inc,2,2,2,1,0,0,0.053316326530612246,0.04336734693877551
Data Analyst,40020,MI,India,L,India,50,"Python, SQL, Computer Vision, Git, Linux",Master,4,Healthcare,5.6,Neural Networks Co,1,2,2,0,1,0,0.03945578231292517,0.03784013605442177
ML Ops Engineer,256314,EX,United States,S,United States,0,"Mathematics, R, Deep Learning",Bachelor,11,Consulting,9.7,Predictive Systems,3,0,1,1,0,0,0.05314625850340136,0.042261904761904764
Research Scientist,63834,EN,Israel,M,Israel,0,"Java, GCP, MLOps, Deep Learning",Master,0,Transportation,9.3,Digital Transformation LLC,0,1,2,0,0,0,0.05187074829931973,0.04098639455782313
Data Scientist,117670,SE,Finland,M,Finland,0,"Azure, TensorFlow, SQL, Tableau, Deep Learning",Associate,9,Manufacturing,9.5,Predictive Systems,2,1,0,0,0,1,0.04855442176870748,0.03792517006802721
Research Scientist,162856,SE,France,L,France,0,"Git, Spark, Kubernetes, Statistics, Azure",Bachelor,5,Telecommunications,9.7,TechCorp Inc,2,2,1,0,0,0,0.050255102040816325,0.04319727891156463
AI Product Manager,85532,EN,Denmark,S,Denmark,50,"Docker, Kubernetes, AWS",Master,0,Telecommunications,5.9,Machine Intelligence Group,0,0,2,0,1,0,0.049829931972789114,0.03843537414965986
Autonomous Systems Engineer,128818,SE,Ireland,M,Norway,0,"GCP, Data Visualization, Computer Vision",Master,7,Telecommunications,7.8,Neural Networks Co,2,1,2,0,0,1,0.05127551020408163,0.03903061224489796
Head of AI,119522,MI,Denmark,S,United States,0,"Deep Learning, Docker, Git, Mathematics",Associate,4,Finance,5.9,Predictive Systems,1,0,0,0,0,0,0.049829931972789114,0.042261904761904764
ML Ops Engineer,80264,EN,Singapore,M,Netherlands,0,"Azure, GCP, SQL, TensorFlow, Data Visualization",PhD,0,Transportation,9.9,Smart Analytics,0,1,3,0,1,0,0.05204081632653061,0.04047619047619048
AI Software Engineer,53464,EN,Singapore,S,Colombia,0,"Hadoop, Statistics, Mathematics, Docker, AWS",Associate,1,Automotive,5.5,Machine Intelligence Group,0,0,0,0,0,1,0.05204081632653061,0.006377551020408163
AI Software Engineer,217718,EX,Japan,M,Japan,100,"MLOps, R, Computer Vision, Scala",Associate,13,Telecommunications,9.8,Smart Analytics,3,1,0,0,1,0,0.050085034013605444,0.03988095238095238
AI Specialist,34602,MI,India,S,India,50,"Scala, TensorFlow, MLOps, Spark, Deep Learning",Bachelor,4,Consulting,9.4,Advanced Robotics,1,0,1,0,0,0,0.03945578231292517,0.03784013605442177
Data Engineer,194639,EX,Ireland,L,Ireland,0,"Tableau, NLP, SQL",Bachelor,13,Manufacturing,5.7,Algorithmic Solutions,3,2,1,0,1,0,0.05127551020408163,0.04311224489795919
