job_title,experience_level,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,benefits_score
AI Architect,SE,South Korea,L,South Korea,50,Master,7,Retail,5.1
Deep Learning Engineer,MI,Denmark,M,Spain,50,PhD,2,Transportation,6.1
AI Research Scientist,SE,India,M,India,0,Bachelor,7,Media,7.7
Machine Learning Engineer,EN,Switzerland,L,India,0,PhD,0,Finance,5.5
AI Software Engineer,MI,Switzerland,S,India,50,PhD,4,Education,5.5
Data Scientist,EN,Switzerland,S,Switzerland,100,Master,0,Gaming,8.7
AI Software Engineer,EN,Switzerland,L,South Africa,100,PhD,0,Telecommunications,8.4
Robotics Engineer,EN,Norway,S,Norway,0,Associate,1,Telecommunications,6.8
Computer Vision Engineer,SE,India,L,Estonia,0,PhD,6,Education,7.1
AI Software Engineer,SE,Finland,M,Finland,0,PhD,6,Media,5.2
Deep Learning Engineer,MI,Canada,L,Canada,100,Master,2,Energy,5.4
Principal Data Scientist,EX,France,M,France,100,Master,17,Manufacturing,7.8
Data Scientist,EX,Israel,L,Israel,100,PhD,19,Government,9.3
AI Specialist,EN,Germany,S,Romania,50,Bachelor,1,Technology,5.1
Machine Learning Engineer,EX,China,L,China,100,Associate,15,Education,9.1
Machine Learning Researcher,EX,Denmark,S,Denmark,0,Bachelor,11,Government,6.6
Computer Vision Engineer,EX,Australia,S,Australia,50,PhD,19,Media,7.5
AI Software Engineer,EX,Finland,M,Finland,50,PhD,15,Gaming,8.5
AI Research Scientist,MI,Israel,S,Israel,50,Master,2,Consulting,7.7
AI Specialist,MI,Norway,L,Norway,0,PhD,4,Telecommunications,8.1
Machine Learning Engineer,EX,Switzerland,S,Switzerland,100,Bachelor,14,Energy,6.4
AI Consultant,EN,South Korea,S,South Korea,0,Associate,0,Transportation,5.3
AI Product Manager,EX,Denmark,L,Poland,0,Master,10,Gaming,5.1
ML Ops Engineer,EN,United Kingdom,L,United Kingdom,0,Bachelor,0,Media,8.2
Data Scientist,SE,Netherlands,M,Netherlands,50,Master,9,Transportation,8.7
Machine Learning Engineer,EN,South Korea,M,South Korea,50,PhD,1,Retail,5.6
Autonomous Systems Engineer,SE,Japan,L,Japan,50,Master,7,Healthcare,6.9
NLP Engineer,SE,Australia,M,Japan,0,PhD,8,Government,8.4
NLP Engineer,SE,Finland,M,Finland,50,Associate,8,Automotive,5.2
Research Scientist,SE,Denmark,S,Denmark,0,PhD,6,Real Estate,6.7
Computer Vision Engineer,EX,China,S,China,50,Bachelor,16,Real Estate,6.2
Machine Learning Researcher,EX,Ireland,S,Nigeria,0,Master,13,Gaming,5.9
Robotics Engineer,EX,Norway,M,Norway,100,Associate,10,Education,5.9
Data Engineer,MI,South Korea,S,South Korea,50,Master,2,Real Estate,5.0
Data Analyst,EX,China,L,China,0,Master,16,Technology,6.6
Computer Vision Engineer,SE,United States,S,Kenya,50,PhD,6,Gaming,6.9
Machine Learning Engineer,EN,Ireland,M,Ireland,50,Bachelor,1,Manufacturing,9.5
AI Product Manager,SE,Austria,L,Austria,100,PhD,6,Consulting,7.8
Robotics Engineer,MI,France,M,France,50,PhD,2,Media,9.8
Research Scientist,SE,Israel,S,Spain,0,PhD,8,Telecommunications,5.5
Deep Learning Engineer,MI,Israel,L,Israel,100,Bachelor,4,Manufacturing,9.6
AI Research Scientist,EN,Japan,S,Japan,100,PhD,1,Telecommunications,6.7
Principal Data Scientist,MI,Sweden,M,Indonesia,0,Bachelor,2,Real Estate,8.9
Machine Learning Researcher,EN,Canada,L,Canada,50,PhD,1,Media,5.5
NLP Engineer,EN,Canada,M,Canada,100,PhD,1,Retail,6.2
Machine Learning Engineer,EN,United States,S,Malaysia,100,Associate,1,Media,5.2
Robotics Engineer,EX,Germany,M,Germany,100,PhD,15,Media,8.8
Data Scientist,EN,Canada,L,Canada,0,Bachelor,0,Finance,5.5
AI Specialist,EN,Germany,S,Luxembourg,100,Bachelor,1,Government,7.1
NLP Engineer,EX,Austria,S,Netherlands,0,Associate,14,Education,8.5
AI Software Engineer,SE,Singapore,S,Singapore,0,Master,9,Media,7.1
AI Specialist,MI,China,M,China,50,PhD,2,Automotive,6.7
AI Software Engineer,MI,United Kingdom,S,United Kingdom,50,PhD,4,Manufacturing,7.4
Deep Learning Engineer,MI,Switzerland,M,Switzerland,0,Associate,4,Automotive,6.5
AI Architect,EN,Ireland,S,Argentina,100,Associate,0,Manufacturing,8.8
Data Scientist,EX,Japan,M,Japan,0,Master,13,Media,6.2
Data Scientist,MI,Sweden,S,Sweden,50,Associate,3,Technology,7.4
AI Software Engineer,EN,Israel,S,Israel,0,Master,1,Energy,5.5
AI Consultant,MI,India,M,India,0,Associate,2,Media,7.2
AI Consultant,EN,Sweden,M,Sweden,0,Associate,1,Automotive,5.6
AI Architect,EN,China,M,China,50,Master,0,Healthcare,7.4
AI Architect,EX,Denmark,S,Denmark,0,Associate,16,Consulting,7.4
Machine Learning Engineer,EX,United States,S,Israel,100,Bachelor,12,Manufacturing,5.4
AI Research Scientist,EX,Canada,S,Canada,50,PhD,13,Healthcare,5.3
AI Research Scientist,MI,Ireland,S,Ireland,0,Master,4,Finance,9.9
Data Engineer,EX,Singapore,L,Singapore,0,Associate,10,Media,7.1
ML Ops Engineer,EX,Norway,M,Norway,50,Bachelor,15,Technology,7.6
Data Engineer,MI,Singapore,L,India,0,Bachelor,2,Transportation,7.7
NLP Engineer,EN,Sweden,S,Thailand,50,Bachelor,0,Education,9.9
AI Specialist,MI,Sweden,S,Germany,50,Master,2,Automotive,9.0
Machine Learning Engineer,MI,United States,S,United States,0,Bachelor,3,Telecommunications,6.5
Machine Learning Researcher,EN,India,L,India,0,Associate,0,Finance,5.8
Autonomous Systems Engineer,SE,Switzerland,M,Thailand,100,Master,5,Consulting,9.0
ML Ops Engineer,EN,South Korea,M,South Korea,0,Bachelor,1,Media,7.9
Data Analyst,SE,Japan,L,Ireland,100,PhD,5,Retail,5.9
Autonomous Systems Engineer,EN,Denmark,S,Vietnam,100,Bachelor,1,Technology,7.5
Data Scientist,SE,China,L,France,50,Bachelor,5,Media,6.5
Computer Vision Engineer,SE,Singapore,L,Singapore,100,Associate,7,Manufacturing,7.4
ML Ops Engineer,MI,Switzerland,M,Switzerland,50,Associate,3,Consulting,9.9
Data Analyst,SE,United Kingdom,L,Australia,0,Bachelor,6,Technology,6.9
Research Scientist,SE,Austria,M,Austria,0,PhD,7,Energy,8.5
Robotics Engineer,EN,China,S,Estonia,100,Bachelor,1,Finance,8.6
AI Product Manager,EX,Australia,L,Australia,0,PhD,17,Healthcare,6.6
AI Product Manager,EX,Finland,S,New Zealand,100,PhD,19,Automotive,8.9
Machine Learning Researcher,SE,Israel,M,Indonesia,50,PhD,9,Telecommunications,9.2
Deep Learning Engineer,SE,Canada,L,Canada,100,Master,8,Retail,9.3
Data Analyst,MI,India,L,India,50,Master,4,Healthcare,5.6
ML Ops Engineer,EX,United States,S,United States,0,Bachelor,11,Consulting,9.7
Research Scientist,EN,Israel,M,Israel,0,Master,0,Transportation,9.3
Data Scientist,SE,Finland,M,Finland,0,Associate,9,Manufacturing,9.5
Research Scientist,SE,France,L,France,0,Bachelor,5,Telecommunications,9.7
AI Product Manager,EN,Denmark,S,Denmark,50,Master,0,Telecommunications,5.9
Autonomous Systems Engineer,SE,Ireland,M,Norway,0,Master,7,Telecommunications,7.8
Head of AI,MI,Denmark,S,United States,0,Associate,4,Finance,5.9
ML Ops Engineer,EN,Singapore,M,Netherlands,0,PhD,0,Transportation,9.9
AI Software Engineer,EN,Singapore,S,Colombia,0,Associate,1,Automotive,5.5
AI Software Engineer,EX,Japan,M,Japan,100,Associate,13,Telecommunications,9.8
AI Specialist,MI,India,S,India,50,Bachelor,4,Consulting,9.4
Data Engineer,EX,Ireland,L,Ireland,0,Bachelor,13,Manufacturing,5.7
Machine Learning Engineer,SE,United States,S,United States,0,PhD,8,Telecommunications,5.7
Machine Learning Researcher,SE,United Kingdom,M,United Kingdom,50,PhD,9,Manufacturing,5.6
Data Analyst,SE,Denmark,S,Colombia,100,Master,5,Transportation,6.3
ML Ops Engineer,EN,United States,M,United States,50,Master,0,Energy,9.2
Data Scientist,EX,India,M,India,100,Bachelor,17,Finance,7.4
Deep Learning Engineer,EN,France,S,France,50,PhD,0,Energy,7.9
AI Research Scientist,EN,Ireland,M,Ireland,0,Associate,1,Technology,7.4
NLP Engineer,MI,Canada,L,Canada,50,Master,4,Finance,9.7
Head of AI,MI,Israel,L,Israel,50,Bachelor,3,Automotive,7.8
Robotics Engineer,EX,India,M,India,0,Associate,16,Energy,8.2
Data Analyst,SE,Finland,L,Finland,0,Associate,7,Education,9.0
Machine Learning Engineer,SE,Australia,L,Belgium,100,Bachelor,6,Retail,6.3
Autonomous Systems Engineer,EX,United States,L,Austria,100,Associate,17,Telecommunications,7.4
Head of AI,EX,Austria,L,Austria,0,PhD,16,Telecommunications,9.3
Data Scientist,EX,Singapore,M,Singapore,0,Bachelor,12,Consulting,6.4
Autonomous Systems Engineer,EN,China,S,China,0,Bachelor,0,Retail,7.2
AI Product Manager,MI,Denmark,L,Denmark,50,Associate,2,Gaming,7.2
AI Specialist,EN,Australia,S,Australia,0,Bachelor,0,Gaming,6.4
ML Ops Engineer,SE,Australia,S,Australia,50,Associate,9,Gaming,7.8
AI Product Manager,SE,Singapore,M,Singapore,50,Bachelor,7,Finance,8.5
AI Product Manager,EX,Denmark,M,United Kingdom,0,Master,10,Finance,9.5
Data Analyst,MI,Norway,S,Norway,100,Master,2,Finance,8.4
Principal Data Scientist,EX,Australia,M,Australia,0,Master,15,Gaming,7.6
AI Product Manager,SE,Singapore,S,Norway,0,Associate,7,Technology,5.5
Machine Learning Engineer,EX,China,S,China,0,Associate,18,Real Estate,8.3
Robotics Engineer,EN,China,S,Philippines,0,PhD,0,Energy,9.6
AI Research Scientist,EX,Australia,S,Estonia,50,PhD,12,Gaming,7.9
AI Product Manager,EN,Finland,S,Finland,50,Bachelor,0,Transportation,7.7
Principal Data Scientist,SE,Denmark,M,Denmark,100,PhD,7,Telecommunications,5.1
Machine Learning Engineer,EN,Denmark,S,Thailand,100,Bachelor,1,Gaming,5.4
AI Research Scientist,MI,Canada,S,Canada,100,Bachelor,2,Retail,8.0
AI Consultant,EN,United Kingdom,S,Australia,50,PhD,0,Transportation,7.8
AI Consultant,MI,China,S,China,100,Associate,2,Manufacturing,7.0
Autonomous Systems Engineer,EN,Switzerland,M,Malaysia,100,PhD,0,Education,6.3
Computer Vision Engineer,MI,Netherlands,S,Netherlands,50,Bachelor,4,Real Estate,9.7
Machine Learning Researcher,EN,Singapore,M,Singapore,50,Bachelor,1,Healthcare,5.6
Machine Learning Engineer,SE,Germany,S,China,0,Associate,5,Technology,7.5
ML Ops Engineer,EN,Ireland,S,Ireland,50,Associate,1,Retail,9.0
Data Scientist,EN,Australia,L,Australia,0,Associate,0,Transportation,9.4
Computer Vision Engineer,EN,Denmark,S,Denmark,100,Bachelor,1,Gaming,5.6
Data Analyst,EX,Sweden,S,Austria,0,Master,14,Gaming,6.8
AI Product Manager,MI,Netherlands,M,United States,0,PhD,3,Media,9.1
Autonomous Systems Engineer,EX,United States,M,United States,50,Associate,10,Transportation,7.8
AI Consultant,EX,France,M,France,50,Associate,12,Manufacturing,9.1
Data Engineer,SE,Sweden,L,Sweden,0,Master,5,Education,5.7
ML Ops Engineer,MI,Switzerland,L,Japan,0,Master,4,Automotive,7.8
Autonomous Systems Engineer,MI,Japan,M,Japan,0,PhD,3,Retail,7.6
AI Consultant,MI,Sweden,L,Sweden,50,PhD,3,Education,6.9
Deep Learning Engineer,EX,Netherlands,S,South Korea,0,Associate,18,Transportation,6.0
AI Consultant,EN,Finland,M,Finland,50,PhD,1,Gaming,7.5
Data Scientist,MI,Canada,L,India,100,PhD,3,Transportation,8.2
NLP Engineer,MI,Switzerland,M,Switzerland,50,Bachelor,2,Automotive,8.8
Data Scientist,EX,France,L,Hungary,50,Associate,12,Retail,9.3
Data Scientist,MI,United Kingdom,S,Singapore,100,PhD,3,Government,6.0
Data Analyst,SE,Japan,L,Japan,50,PhD,5,Education,5.2
AI Architect,EN,Netherlands,M,Netherlands,50,Bachelor,1,Real Estate,5.5
AI Product Manager,SE,Netherlands,L,Russia,0,Bachelor,5,Media,8.4
AI Research Scientist,MI,Canada,L,Canada,100,PhD,2,Technology,7.0
AI Architect,EN,Sweden,L,Czech Republic,100,PhD,1,Media,8.7
AI Research Scientist,MI,Ireland,M,Ireland,100,Master,3,Gaming,9.4
AI Product Manager,MI,Norway,M,Argentina,100,Associate,2,Automotive,6.6
Data Analyst,EN,China,L,China,50,Bachelor,1,Real Estate,8.9
Data Engineer,SE,Canada,M,Canada,0,Bachelor,5,Retail,6.8
Research Scientist,EN,France,L,France,100,Associate,0,Consulting,8.2
Data Scientist,SE,Switzerland,S,Switzerland,50,PhD,9,Manufacturing,5.8
AI Specialist,EX,China,L,Japan,100,Bachelor,17,Automotive,8.4
Research Scientist,EN,Sweden,S,Sweden,50,Master,0,Government,8.4
AI Product Manager,EX,Switzerland,L,Thailand,100,Bachelor,16,Media,8.2
Robotics Engineer,EX,India,S,United Kingdom,50,Associate,13,Education,5.2
Principal Data Scientist,EX,France,S,France,50,Associate,13,Government,8.1
AI Specialist,EX,Ireland,L,Latvia,0,Associate,12,Government,7.8
Data Engineer,EX,Australia,S,Finland,0,Bachelor,18,Automotive,9.4
Data Engineer,EX,India,S,India,100,PhD,15,Transportation,5.9
AI Architect,EX,France,S,Estonia,0,Master,19,Gaming,8.1
AI Software Engineer,MI,Austria,L,Austria,100,Associate,4,Healthcare,6.1
Data Engineer,MI,Ireland,M,Netherlands,50,Master,4,Manufacturing,5.0
Research Scientist,EN,United States,S,India,0,Master,0,Consulting,8.1
Machine Learning Researcher,SE,China,L,China,0,Associate,7,Automotive,6.1
AI Specialist,EX,Australia,S,Australia,50,Associate,16,Gaming,5.3
Computer Vision Engineer,MI,South Korea,L,South Korea,100,Master,2,Retail,7.9
AI Specialist,SE,Germany,L,Germany,50,Bachelor,9,Consulting,9.4
Research Scientist,EX,Singapore,S,Singapore,100,Master,11,Technology,9.6
AI Software Engineer,SE,United Kingdom,S,Ukraine,0,Bachelor,5,Media,5.5
NLP Engineer,SE,Denmark,L,Denmark,100,Associate,8,Transportation,7.0
Machine Learning Engineer,SE,China,S,United States,50,Master,7,Real Estate,7.3
Robotics Engineer,EN,Australia,M,Australia,100,Master,0,Education,7.0
Head of AI,EN,France,S,Italy,50,Master,0,Energy,8.7
ML Ops Engineer,EX,Finland,M,Finland,50,PhD,18,Education,8.8
Data Scientist,SE,South Korea,S,Norway,0,Bachelor,5,Real Estate,5.4
AI Specialist,EN,Ireland,L,Ireland,100,Associate,0,Technology,7.8
Autonomous Systems Engineer,EN,Australia,S,Australia,100,Master,0,Consulting,6.9
Computer Vision Engineer,EN,Japan,M,Japan,50,Associate,1,Manufacturing,8.2
Machine Learning Researcher,EX,China,M,China,50,PhD,10,Government,9.9
Robotics Engineer,EN,France,M,South Korea,0,PhD,0,Government,7.8
Computer Vision Engineer,EN,Netherlands,M,Netherlands,50,Bachelor,0,Transportation,6.2
Data Analyst,MI,South Korea,S,Canada,100,Bachelor,4,Government,7.0
Autonomous Systems Engineer,SE,China,L,China,50,Associate,8,Automotive,9.8
AI Research Scientist,EX,Norway,S,Vietnam,0,Master,17,Telecommunications,5.5
AI Specialist,SE,United States,L,United States,0,PhD,8,Consulting,10.0
AI Specialist,EX,Germany,M,Indonesia,50,PhD,15,Real Estate,7.4
AI Software Engineer,MI,United States,L,Mexico,100,Master,2,Manufacturing,6.9
Data Analyst,EX,Norway,L,Norway,50,PhD,16,Government,7.6
Head of AI,SE,United Kingdom,M,United Kingdom,100,Bachelor,6,Finance,5.8
Machine Learning Engineer,MI,Germany,S,Germany,50,PhD,4,Media,8.4
Data Analyst,EX,Sweden,S,Sweden,50,Bachelor,12,Technology,9.5
Machine Learning Engineer,SE,Ireland,S,France,0,Associate,7,Real Estate,6.4
Data Engineer,SE,Norway,M,Norway,100,Bachelor,9,Education,6.4
Data Engineer,MI,Switzerland,S,Switzerland,0,Bachelor,3,Government,5.8
Deep Learning Engineer,SE,Israel,M,South Africa,50,Bachelor,9,Manufacturing,7.1
ML Ops Engineer,SE,Israel,S,Israel,0,Master,5,Automotive,6.0
Machine Learning Engineer,EN,China,S,Colombia,50,PhD,0,Energy,8.6
Robotics Engineer,EN,Singapore,L,Singapore,100,Master,0,Gaming,5.7
Data Scientist,SE,Canada,S,Canada,100,PhD,6,Telecommunications,9.1
ML Ops Engineer,EX,Sweden,L,Turkey,0,Bachelor,19,Gaming,7.3
Data Scientist,MI,Germany,S,Germany,100,Bachelor,2,Energy,6.2
Principal Data Scientist,MI,Netherlands,L,Philippines,50,Master,2,Consulting,6.4
AI Specialist,MI,Sweden,L,Sweden,0,Bachelor,3,Automotive,6.5
AI Software Engineer,EX,Ireland,S,Ireland,0,Bachelor,15,Finance,7.2
AI Software Engineer,MI,United States,L,United States,0,PhD,3,Gaming,5.3
AI Architect,MI,Finland,S,Finland,100,Master,2,Finance,6.1
AI Consultant,EX,France,S,Romania,100,PhD,19,Education,9.3
ML Ops Engineer,EX,United Kingdom,L,United Kingdom,50,Master,16,Telecommunications,6.5
Principal Data Scientist,MI,China,M,China,100,PhD,4,Retail,7.1
AI Software Engineer,EN,Singapore,L,Switzerland,50,Master,1,Transportation,9.9
Autonomous Systems Engineer,EX,Norway,S,Norway,50,Master,18,Consulting,8.5
Machine Learning Engineer,EX,Japan,S,Japan,100,Master,18,Government,7.2
Data Scientist,MI,Israel,L,Netherlands,50,PhD,2,Media,5.3
ML Ops Engineer,MI,India,S,India,100,Associate,3,Energy,6.6
Computer Vision Engineer,SE,Ireland,S,Ireland,100,Associate,7,Media,7.3
Data Scientist,EN,France,L,Ghana,0,PhD,0,Healthcare,9.4
Machine Learning Engineer,EX,Israel,S,Israel,100,PhD,13,Retail,7.1
Principal Data Scientist,EX,United Kingdom,L,United Kingdom,0,Associate,19,Education,8.8
Data Engineer,MI,Germany,S,Germany,50,Associate,2,Energy,8.4
Autonomous Systems Engineer,EN,China,S,China,50,PhD,1,Gaming,6.4
AI Product Manager,EN,China,S,Israel,100,Master,0,Automotive,5.8
Robotics Engineer,EX,Switzerland,S,Switzerland,100,Associate,12,Retail,7.0
Autonomous Systems Engineer,EN,Japan,M,Japan,50,Master,0,Media,6.3
AI Consultant,EX,Japan,L,Japan,50,Bachelor,15,Telecommunications,5.5
Head of AI,EN,Canada,S,Canada,50,PhD,0,Technology,6.3
Data Analyst,SE,India,M,India,0,Associate,8,Healthcare,5.6
AI Research Scientist,MI,Switzerland,L,Switzerland,50,Bachelor,4,Education,7.9
AI Research Scientist,MI,Austria,S,Austria,0,Associate,3,Telecommunications,7.6
AI Software Engineer,SE,France,M,France,100,Bachelor,7,Manufacturing,5.2
Head of AI,EN,Sweden,L,Estonia,100,Master,0,Manufacturing,8.0
AI Research Scientist,MI,China,S,China,50,Associate,2,Finance,8.1
Robotics Engineer,MI,Israel,M,Israel,100,Bachelor,2,Consulting,7.5
Machine Learning Researcher,SE,Switzerland,S,Kenya,50,Associate,5,Retail,7.4
ML Ops Engineer,MI,United Kingdom,L,United Kingdom,0,Master,4,Government,10.0
ML Ops Engineer,EN,Finland,M,Finland,50,Bachelor,1,Finance,5.2
Data Engineer,SE,Sweden,L,Sweden,100,PhD,9,Real Estate,8.1
AI Architect,MI,United States,L,United States,0,Master,2,Healthcare,9.1
Data Scientist,SE,Austria,L,Malaysia,0,PhD,5,Manufacturing,9.1
AI Product Manager,EN,Austria,S,Austria,0,Bachelor,0,Manufacturing,9.1
Robotics Engineer,MI,Denmark,S,South Africa,0,Bachelor,2,Retail,6.9
AI Consultant,EN,Germany,L,Denmark,50,PhD,0,Automotive,5.5
Data Engineer,SE,United Kingdom,S,United Kingdom,100,Bachelor,7,Gaming,9.5
Research Scientist,MI,India,L,India,50,Associate,3,Telecommunications,7.1
Computer Vision Engineer,MI,Ireland,M,Ireland,100,PhD,4,Manufacturing,8.2
Data Analyst,SE,India,S,India,100,Associate,9,Consulting,7.5
AI Product Manager,SE,Norway,L,Norway,50,PhD,8,Education,6.5
AI Research Scientist,MI,Finland,L,Finland,100,Bachelor,4,Healthcare,8.4
Data Analyst,MI,Ireland,M,Ireland,100,Associate,3,Retail,9.7
Research Scientist,EX,Israel,M,Israel,0,Bachelor,15,Consulting,5.7
AI Product Manager,EN,Norway,S,Singapore,0,Associate,1,Automotive,5.1
Computer Vision Engineer,SE,South Korea,S,South Korea,50,Associate,6,Energy,6.0
AI Specialist,SE,South Korea,M,South Korea,0,Associate,7,Telecommunications,5.7
AI Consultant,EX,Germany,S,Germany,100,Master,13,Finance,5.8
Computer Vision Engineer,MI,Ireland,S,Ireland,50,Master,4,Government,8.7
Robotics Engineer,SE,China,S,China,0,Associate,8,Healthcare,8.3
Data Engineer,MI,Switzerland,S,Malaysia,100,Master,4,Healthcare,5.9
NLP Engineer,MI,United States,L,United States,100,Master,4,Government,10.0
ML Ops Engineer,SE,United Kingdom,M,United Kingdom,50,Associate,7,Transportation,8.6
Research Scientist,EX,Israel,S,Israel,0,Master,17,Government,8.0
Robotics Engineer,EX,Ireland,L,Ireland,100,PhD,11,Technology,5.2
Machine Learning Researcher,SE,India,L,India,0,Master,7,Energy,8.8
Data Engineer,EX,Japan,L,Japan,50,PhD,13,Consulting,5.4
Machine Learning Researcher,SE,Switzerland,M,Denmark,50,Bachelor,5,Transportation,9.0
Research Scientist,MI,Denmark,L,Denmark,100,Master,4,Telecommunications,6.6
Machine Learning Engineer,EX,India,M,Portugal,50,PhD,15,Manufacturing,8.2
Principal Data Scientist,MI,Japan,L,Spain,50,Bachelor,4,Gaming,7.4
Machine Learning Engineer,MI,India,L,India,50,PhD,4,Media,9.9
AI Research Scientist,EN,Israel,M,Israel,100,Master,1,Telecommunications,6.1
Machine Learning Researcher,EX,Japan,M,Japan,100,Bachelor,10,Transportation,9.9
AI Software Engineer,MI,Switzerland,M,Luxembourg,100,Master,4,Education,9.0
AI Product Manager,MI,Japan,L,Japan,0,Bachelor,3,Government,5.6
Machine Learning Researcher,EN,Sweden,L,Sweden,0,Bachelor,1,Government,5.2
ML Ops Engineer,EN,Sweden,M,Sweden,0,Associate,1,Retail,8.9
Robotics Engineer,SE,Germany,M,Germany,0,PhD,5,Education,7.1
AI Architect,MI,United States,M,United States,100,Associate,2,Finance,5.0
ML Ops Engineer,EN,Germany,L,Australia,100,Bachelor,0,Gaming,9.2
Head of AI,SE,South Korea,M,South Korea,50,Associate,9,Education,7.8
Head of AI,MI,India,M,India,100,Master,3,Automotive,5.7
Autonomous Systems Engineer,EX,Canada,M,Canada,50,PhD,16,Automotive,6.7
Data Analyst,EN,Netherlands,S,Ukraine,100,Master,1,Automotive,5.7
Machine Learning Engineer,EX,Germany,L,Germany,50,Master,16,Automotive,7.0
Data Engineer,SE,Finland,L,Finland,50,Associate,5,Media,5.9
NLP Engineer,EX,Netherlands,M,Netherlands,100,Associate,13,Manufacturing,8.7
NLP Engineer,SE,Denmark,L,Latvia,50,Bachelor,8,Technology,9.3
AI Software Engineer,SE,Japan,L,Japan,100,Bachelor,5,Government,8.1
Machine Learning Engineer,SE,South Korea,M,South Korea,0,Associate,7,Gaming,8.7
Machine Learning Engineer,SE,Canada,M,Turkey,0,Bachelor,6,Healthcare,8.2
AI Software Engineer,EX,South Korea,L,South Korea,50,Associate,17,Consulting,6.2
Head of AI,SE,Singapore,L,Singapore,0,Associate,8,Education,9.6
ML Ops Engineer,MI,Sweden,S,Denmark,50,Associate,4,Education,5.6
NLP Engineer,SE,Germany,M,Germany,50,Associate,7,Manufacturing,8.4
Deep Learning Engineer,SE,Sweden,L,Sweden,50,Master,7,Gaming,6.3
Principal Data Scientist,MI,Australia,L,Australia,0,Bachelor,2,Consulting,5.4
Deep Learning Engineer,MI,Austria,M,Austria,100,PhD,4,Telecommunications,5.7
Autonomous Systems Engineer,MI,Finland,L,Finland,100,Bachelor,2,Automotive,6.8
Machine Learning Engineer,EX,Australia,L,Australia,50,Bachelor,14,Consulting,5.6
Data Analyst,MI,Ireland,L,New Zealand,0,Bachelor,3,Manufacturing,9.8
Machine Learning Researcher,EN,South Korea,M,South Korea,0,Bachelor,0,Healthcare,6.2
AI Product Manager,EN,Germany,S,Germany,0,Associate,1,Manufacturing,5.7
Data Scientist,SE,Switzerland,M,Switzerland,50,Master,7,Government,6.7
Robotics Engineer,EN,United States,S,United States,50,Master,1,Media,7.3
AI Consultant,MI,Japan,L,Japan,100,Master,3,Education,5.1
AI Research Scientist,EN,Netherlands,L,Netherlands,100,Associate,1,Retail,8.2
